date,church,prayer,bible,church service
2004-01-01,82,9,48,0
2004-02-01,84,9,49,0
2004-03-01,83,10,48,0
2004-04-01,83,10,46,1
2004-05-01,74,11,43,0
2004-06-01,73,8,39,0
2004-07-01,75,9,40,0
2004-08-01,82,8,44,0
2004-09-01,82,11,48,0
2004-10-01,78,12,47,0
2004-11-01,74,13,49,0
2004-12-01,82,11,47,1
2005-01-01,84,10,47,1
2005-02-01,83,10,46,0
2005-03-01,94,10,47,1
2005-04-01,90,12,47,0
2005-05-01,82,11,45,0
2005-06-01,81,9,41,0
2005-07-01,84,8,44,0
2005-08-01,80,9,40,0
2005-09-01,89,11,46,1
2005-10-01,84,11,50,0
2005-11-01,76,11,47,0
2005-12-01,84,10,43,1
2006-01-01,87,10,47,0
2006-02-01,82,10,46,0
2006-03-01,85,10,44,0
2006-04-01,92,11,47,1
2006-05-01,76,10,42,0
2006-06-01,82,8,41,0
2006-07-01,82,9,39,0
2006-08-01,83,9,40,0
2006-09-01,84,11,45,0
2006-10-01,88,11,46,0
2006-11-01,81,11,40,0
2006-12-01,83,10,41,1
2007-01-01,82,10,44,0
2007-02-01,86,10,43,0
2007-03-01,84,9,42,0
2007-04-01,94,11,44,1
2007-05-01,81,11,39,0
2007-06-01,81,9,37,0
2007-07-01,81,9,39,0
2007-08-01,84,9,38,0
2007-09-01,85,11,43,0
2007-10-01,79,10,43,0
2007-11-01,78,11,40,0
2007-12-01,84,10,41,1
2008-01-01,85,10,42,0
2008-02-01,84,10,40,0
2008-03-01,97,10,41,1
2008-04-01,83,11,40,0
2008-05-01,76,10,39,0
2008-06-01,77,9,37,0
2008-07-01,77,9,36,0
2008-08-01,76,9,35,0
2008-09-01,79,11,40,0
2008-10-01,78,10,42,0
2008-11-01,80,12,42,0
2008-12-01,80,10,39,1
2009-01-01,78,11,40,0
2009-02-01,84,10,41,0
2009-03-01,83,10,40,0
2009-04-01,89,10,43,1
2009-05-01,74,11,37,0
2009-06-01,79,9,36,0
2009-07-01,74,9,36,0
2009-08-01,81,10,37,0
2009-09-01,77,11,41,0
2009-10-01,78,10,44,0
2009-11-01,74,12,41,0
2009-12-01,80,10,40,1
2010-01-01,79,10,47,1
2010-02-01,83,10,42,0
2010-03-01,80,11,43,0
2010-04-01,90,13,42,1
2010-05-01,76,12,41,0
2010-06-01,77,9,38,0
2010-07-01,71,9,36,0
2010-08-01,76,11,38,0
2010-09-01,77,11,42,0
2010-10-01,72,10,41,0
2010-11-01,70,11,40,0
2010-12-01,74,10,39,1
2011-01-01,85,12,49,1
2011-02-01,83,11,49,0
2011-03-01,86,12,47,1
2011-04-01,100,12,49,1
2011-05-01,86,12,48,0
2011-06-01,84,10,41,0
2011-07-01,83,11,42,0
2011-08-01,85,13,42,0
2011-09-01,83,11,47,1
2011-10-01,80,12,45,0
2011-11-01,77,12,46,0
