date,prayer,meditation,mindfulness,manifestation,chakras,rep
2004-01-01,41.0,16.0,1.0,1.0,2.0,2.0
2004-02-01,43.0,16.0,1.0,1.0,1.0,2.0
2004-03-01,46.0,15.0,1.0,1.0,2.0,2.0
2004-04-01,48.0,15.0,1.0,0.0,2.0,2.0
2004-05-01,49.0,15.0,1.0,0.0,1.0,2.0
2004-06-01,39.0,13.0,1.0,0.0,1.0,2.0
2004-07-01,39.0,14.0,1.0,0.0,2.0,2.0
2004-08-01,38.0,15.0,1.0,0.0,1.0,2.0
2004-09-01,48.0,15.0,1.0,1.0,2.0,2.0
2004-10-01,55.0,14.0,1.0,1.0,1.0,2.0
2004-11-01,60.0,15.0,1.0,1.0,1.0,2.0
2004-12-01,49.0,14.0,1.0,1.0,1.0,2.0
2005-01-01,47.0,15.0,1.0,0.0,2.0,2.0
2005-02-01,48.0,15.0,1.0,1.0,2.0,2.0
2005-03-01,48.0,14.0,1.0,1.0,2.0,2.0
2005-04-01,53.0,14.0,1.0,1.0,1.0,2.0
2005-05-01,51.0,15.0,1.0,1.0,1.0,2.0
2005-06-01,40.0,14.0,1.0,0.0,1.0,2.0
2005-07-01,39.0,14.0,1.0,0.0,1.0,2.0
2005-08-01,40.0,13.0,1.0,0.0,1.0,2.0
2005-09-01,49.0,13.0,1.0,1.0,1.0,2.0
2005-10-01,50.0,14.0,1.0,1.0,1.0,2.0
2005-11-01,50.0,15.0,1.0,1.0,2.0,2.0
2005-12-01,46.0,13.0,1.0,0.0,1.0,2.0
2006-01-01,44.0,14.0,1.0,1.0,1.0,2.0
2006-02-01,47.0,15.0,1.0,1.0,1.0,2.0
2006-03-01,46.0,15.0,1.0,1.0,2.0,2.0
2006-04-01,50.0,13.0,1.0,1.0,1.0,2.0
2006-05-01,47.0,12.0,1.0,1.0,1.0,2.0
2006-06-01,39.0,12.0,1.0,1.0,1.0,2.0
2006-07-01,40.0,12.0,1.0,1.0,1.0,2.0
2006-08-01,41.0,11.0,1.0,0.0,1.0,2.0
