date,prayer,meditation,mindfulness,manifestation,chakras
2004-01-01,43,16,1,1,2
2004-02-01,42,15,1,1,1
2004-03-01,45,15,1,1,2
2004-04-01,46,15,1,0,2
2004-05-01,48,15,1,0,1
2004-06-01,36,13,1,0,1
2004-07-01,36,14,0,0,1
2004-08-01,35,14,1,0,1
2004-09-01,45,15,1,1,2
2004-10-01,53,14,1,1,1
2004-11-01,59,15,1,1,1
2004-12-01,51,14,1,1,1
2005-01-01,45,15,1,0,1
2005-02-01,45,15,1,1,1
2005-03-01,48,14,1,1,1
2005-04-01,50,14,1,1,1
2005-05-01,48,14,1,1,1
2005-06-01,40,14,1,0,1
2005-07-01,37,14,1,0,1
2005-08-01,39,13,1,0,1
2005-09-01,46,12,1,1,1
2005-10-01,51,14,1,1,1
2005-11-01,49,14,1,1,1
2005-12-01,43,13,1,0,1
2006-01-01,44,13,1,1,1
2006-02-01,46,15,1,1,1
2006-03-01,44,15,1,1,2
2006-04-01,47,13,1,1,1
2006-05-01,46,12,1,1,1
2006-06-01,38,11,1,1,1
2006-07-01,39,11,1,1,1
2006-08-01,41,11,1,0,1
2006-09-01,48,11,1,1,1
2006-10-01,47,11,1,1,1
2006-11-01,48,11,1,1,1
2006-12-01,43,11,1,1,1
2007-01-01,42,12,1,1,1
2007-02-01,43,12,1,1,1
2007-03-01,43,11,1,1,1
2007-04-01,47,11,1,1,1
2007-05-01,47,11,1,1,1
2007-06-01,40,10,1,1,1
2007-07-01,39,10,1,0,1
2007-08-01,40,11,1,0,1
2007-09-01,49,11,1,1,1
2007-10-01,46,13,1,1,1
2007-11-01,47,12,1,1,1
2007-12-01,43,11,1,1,1
2008-01-01,43,12,1,1,1
2008-02-01,45,14,1,1,1
2008-03-01,44,12,1,1,1
2008-04-01,48,12,1,1,1
2008-05-01,45,11,1,1,1
2008-06-01,38,10,1,1,1
2008-07-01,40,11,1,1,1
2008-08-01,39,10,1,0,1
2008-09-01,48,11,1,1,1
2008-10-01,45,11,1,1,1
2008-11-01,52,11,1,1,1
2008-12-01,43,10,1,1,1
2009-01-01,51,12,1,1,1
2009-02-01,45,12,1,1,1
2009-03-01,45,12,1,1,1
2009-04-01,48,13,1,1,2
2009-05-01,50,13,1,1,2
2009-06-01,40,11,1,1,2
2009-07-01,42,10,1,1,2
2009-08-01,44,11,1,1,1
2009-09-01,51,12,1,1,2
2009-10-01,45,12,1,1,2
2009-11-01,50,13,1,1,1
2009-12-01,44,11,1,1,1
2010-01-01,45,12,1,1,2
2010-02-01,47,12,1,1,2
2010-03-01,48,13,1,1,2
2010-04-01,60,13,1,1,2
2010-05-01,55,11,1,1,2
2010-06-01,40,11,1,1,2
2010-07-01,40,11,1,1,2
2010-08-01,49,11,1,0,1
2010-09-01,48,12,1,1,1
2010-10-01,45,11,1,1,1
2010-11-01,48,12,1,1,2
2010-12-01,45,11,1,1,1
2011-01-01,51,14,2,1,1
2011-02-01,51,15,2,1,1
2011-03-01,54,14,2,1,1
2011-04-01,52,14,2,1,1
2011-05-01,54,13,1,1,1
2011-06-01,47,12,1,1,1
2011-07-01,50,13,1,1,1
2011-08-01,56,13,1,1,1
2011-09-01,53,13,2,1,1
2011-10-01,51,13,2,1,1
2011-11-01,57,13,2,1,1
2011-12-01,52,13,1,1,1
2012-01-01,51,14,2,1,1
2012-02-01,53,15,2,1,1
2012-03-01,53,14,2,1,1
2012-04-01,50,15,2,1,1
2012-05-01,53,13,2,1,1
2012-06-01,45,13,1,1,1
2012-07-01,50,14,1,1,1
2012-08-01,52,14,2,1,1
2012-09-01,52,14,2,1,1
2012-10-01,51,14,2,1,1
2012-11-01,53,15,2,1,2
2012-12-01,52,15,2,1,1
2013-01-01,46,15,2,1,1
2013-02-01,51,16,2,1,2
2013-03-01,53,17,2,1,2
2013-04-01,51,16,2,1,2
2013-05-01,54,15,2,1,1
2013-06-01,45,14,2,1,2
2013-07-01,52,16,2,1,2
2013-08-01,50,17,2,1,2
2013-09-01,49,17,2,1,2
2013-10-01,52,16,2,1,2
2013-11-01,55,18,2,1,2
2013-12-01,49,16,2,1,2
