date,prayer,astrology
2004-01-01,43,46
2004-02-01,42,35
2004-03-01,45,35
2004-04-01,46,35
2004-05-01,48,33
2004-06-01,36,37
2004-07-01,36,36
2004-08-01,35,34
2004-09-01,45,36
2004-10-01,53,35
2004-11-01,59,36
2004-12-01,51,32
2005-01-01,45,37
2005-02-01,45,37
2005-03-01,48,32
2005-04-01,50,31
2005-05-01,48,32
2005-06-01,40,33
2005-07-01,37,36
2005-08-01,39,34
2005-09-01,46,32
2005-10-01,51,32
2005-11-01,49,34
2005-12-01,43,33
2006-01-01,44,38
2006-02-01,46,32
2006-03-01,44,31
2006-04-01,47,31
2006-05-01,46,31
2006-06-01,38,31
2006-07-01,39,34
2006-08-01,41,32
2006-09-01,48,30
2006-10-01,47,30
2006-11-01,48,29
2006-12-01,43,31
2007-01-01,42,31
2007-02-01,43,31
2007-03-01,43,30
2007-04-01,47,28
2007-05-01,47,28
2007-06-01,40,27
2007-07-01,39,29
2007-08-01,40,30
2007-09-01,49,27
2007-10-01,46,27
2007-11-01,47,27
2007-12-01,43,28
2008-01-01,43,31
2008-02-01,45,29
2008-03-01,44,25
2008-04-01,48,24
2008-05-01,45,26
2008-06-01,38,26
2008-07-01,40,25
2008-08-01,39,27
2008-09-01,48,25
2008-10-01,45,24
2008-11-01,52,25
2008-12-01,43,30
2009-01-01,51,29
2009-02-01,45,25
2009-03-01,45,23
2009-04-01,48,21
2009-05-01,50,24
2009-06-01,40,24
2009-07-01,42,25
2009-08-01,44,24
2009-09-01,51,24
2009-10-01,45,23
2009-11-01,50,22
2009-12-01,44,24
2010-01-01,45,26
2010-02-01,47,26
2010-03-01,48,23
2010-04-01,60,23
2010-05-01,55,22
2010-06-01,40,24
2010-07-01,40,24
2010-08-01,49,23
2010-09-01,48,22
2010-10-01,45,21
2010-11-01,48,22
2010-12-01,45,23
2011-01-01,51,49
2011-02-01,51,24
2011-03-01,54,23
2011-04-01,52,21
2011-05-01,54,22
2011-06-01,47,23
2011-07-01,50,22
2011-08-01,56,21
2011-09-01,53,23
2011-10-01,51,21
2011-11-01,57,23
2011-12-01,52,24
2012-01-01,51,26
2012-02-01,53,22
2012-03-01,53,22
2012-04-01,50,21
2012-05-01,53,21
2012-06-01,45,23
2012-07-01,50,24
2012-08-01,52,23
2012-09-01,52,22
2012-10-01,51,22
2012-11-01,53,22
2012-12-01,52,21
2013-01-01,46,21
2013-02-01,51,22
2013-03-01,53,21
2013-04-01,51,20
2013-05-01,54,20
2013-06-01,45,21
2013-07-01,52,21
2013-08-01,50,21
2013-09-01,49,19
2013-10-01,52,19
2013-11-01,55,19
2013-12-01,49,20
2014-01-01,49,21
2014-02-01,49,20
2014-03-01,51,19
2014-04-01,53,20
2014-05-01,54,21
2014-06-01,49,20
2014-07-01,53,22
2014-08-01,51,20
2014-09-01,53,20
2014-10-01,50,18
2014-11-01,54,16
2014-12-01,52,18
2015-01-01,53,18
2015-02-01,54,18
2015-03-01,54,19
2015-04-01,57,18
2015-05-01,53,17
2015-06-01,53,18
2015-07-01,50,20
2015-08-01,54,18
2015-09-01,61,19
2015-10-01,53,17
2015-11-01,54,17
2015-12-01,54,17
2016-01-01,59,18
2016-02-01,56,17
2016-03-01,60,17
2016-04-01,59,16
2016-05-01,60,16
2016-06-01,61,16
2016-07-01,58,15
2016-08-01,54,16
2016-09-01,59,20
2016-10-01,58,16
2016-11-01,57,15
2016-12-01,54,16
2017-01-01,61,16
2017-02-01,62,16
2017-03-01,57,14
2017-04-01,59,14
2017-05-01,62,14
2017-06-01,57,15
2017-07-01,51,17
2017-08-01,58,18
2017-09-01,58,14
2017-10-01,54,14
2017-11-01,55,16
2017-12-01,57,17
2018-01-01,56,17
2018-02-01,57,16
2018-03-01,59,15
2018-04-01,57,16
2018-05-01,62,16
2018-06-01,58,16
2018-07-01,55,23
2018-08-01,63,19
2018-09-01,59,16
2018-10-01,58,16
2018-11-01,59,16
2018-12-01,60,17
2019-01-01,59,20
2019-02-01,57,18
2019-03-01,62,18
2019-04-01,63,17
2019-05-01,65,17
2019-06-01,59,18
2019-07-01,52,18
2019-08-01,59,20
2019-09-01,58,18
2019-10-01,59,18
2019-11-01,60,17
2019-12-01,57,18
2020-01-01,60,20
2020-02-01,60,20
2020-03-01,73,17
2020-04-01,80,17
2020-05-01,70,19
2020-06-01,61,21
2020-07-01,60,22
2020-08-01,65,19
2020-09-01,70,20
2020-10-01,65,20
2020-11-01,66,22
2020-12-01,66,29
2021-01-01,69,27
2021-02-01,62,24
2021-03-01,61,21
2021-04-01,71,21
2021-05-01,65,23
2021-06-01,56,23
2021-07-01,59,21
2021-08-01,60,21
2021-09-01,61,19
2021-10-01,59,20
2021-11-01,66,22
2021-12-01,60,21
