date,church,meditation,mindfulness,manifestation,chakras,rep
2004-01-01,82.0,4.0,0.0,0.0,0.0,2.0
2004-02-01,84.0,3.0,0.0,0.0,0.0,2.0
2004-03-01,84.0,3.0,0.0,0.0,0.0,2.0
2004-04-01,83.0,3.0,0.0,0.0,0.0,2.0
2004-05-01,75.0,3.0,0.0,0.0,0.0,2.0
2004-06-01,74.0,3.0,0.0,0.0,0.0,2.0
2004-07-01,76.0,3.0,0.0,0.0,0.0,2.0
2004-08-01,81.0,3.0,0.0,0.0,0.0,2.0
2004-09-01,82.0,3.0,0.0,0.0,0.0,2.0
2004-10-01,78.0,3.0,0.0,0.0,0.0,2.0
2004-11-01,74.0,3.0,0.0,0.0,0.0,2.0
2004-12-01,82.0,3.0,0.0,0.0,0.0,2.0
2005-01-01,84.0,3.0,0.0,0.0,0.0,2.0
2005-02-01,83.0,3.0,0.0,0.0,0.0,2.0
2005-03-01,95.0,3.0,0.0,0.0,0.0,2.0
2005-04-01,91.0,3.0,0.0,0.0,0.0,2.0
2005-05-01,82.0,3.0,0.0,0.0,0.0,2.0
2005-06-01,81.0,3.0,0.0,0.0,0.0,2.0
2005-07-01,84.0,3.0,0.0,0.0,0.0,2.0
2005-08-01,82.0,3.0,0.0,0.0,0.0,2.0
2005-09-01,89.0,3.0,0.0,0.0,0.0,2.0
2005-10-01,85.0,3.0,0.0,0.0,0.0,2.0
2005-11-01,76.0,3.0,0.0,0.0,0.0,2.0
2005-12-01,84.0,3.0,0.0,0.0,0.0,2.0
2006-01-01,89.0,3.0,0.0,0.0,0.0,2.0
2006-02-01,82.0,3.0,0.0,0.0,0.0,2.0
2006-03-01,85.0,3.0,0.0,0.0,0.0,2.0
2006-04-01,93.0,3.0,0.0,0.0,0.0,2.0
2006-05-01,77.0,3.0,0.0,0.0,0.0,2.0
2006-06-01,82.0,3.0,0.0,0.0,0.0,2.0
2006-07-01,83.0,3.0,0.0,0.0,0.0,2.0
2006-08-01,84.0,3.0,0.0,0.0,0.0,2.0
2006-09-01,85.0,2.0,0.0,0.0,0.0,2.0
2006-10-01,88.0,3.0,0.0,0.0,0.0,2.0
2006-11-01,81.0,3.0,0.0,0.0,0.0,2.0
2006-12-01,83.0,2.0,0.0,0.0,0.0,2.0
2007-01-01,81.0,3.0,0.0,0.0,0.0,2.0
2007-02-01,86.0,3.0,0.0,0.0,0.0,2.0
2007-03-01,84.0,2.0,0.0,0.0,0.0,2.0
2007-04-01,95.0,3.0,0.0,0.0,0.0,2.0
2007-05-01,81.0,3.0,0.0,0.0,0.0,2.0
2007-06-01,82.0,2.0,0.0,0.0,0.0,2.0
2007-07-01,81.0,2.0,0.0,0.0,0.0,2.0
