date,church,meditation,mindfulness,manifestation,chakras
2004-01-01,82,4,0,0,0
2004-02-01,84,3,0,0,0
2004-03-01,83,3,0,0,0
2004-04-01,83,3,0,0,0
2004-05-01,74,3,0,0,0
2004-06-01,73,3,0,0,0
2004-07-01,75,3,0,0,0
2004-08-01,82,3,0,0,0
2004-09-01,82,3,0,0,0
2004-10-01,78,3,0,0,0
2004-11-01,74,3,0,0,0
2004-12-01,82,3,0,0,0
2005-01-01,84,3,0,0,0
2005-02-01,83,3,0,0,0
2005-03-01,94,3,0,0,0
2005-04-01,90,3,0,0,0
2005-05-01,82,3,0,0,0
2005-06-01,81,3,0,0,0
2005-07-01,84,3,0,0,0
2005-08-01,80,3,0,0,0
2005-09-01,89,3,0,0,0
2005-10-01,84,3,0,0,0
2005-11-01,76,3,0,0,0
2005-12-01,84,3,0,0,0
2006-01-01,87,3,0,0,0
2006-02-01,82,3,0,0,0
2006-03-01,85,3,0,0,0
2006-04-01,92,3,0,0,0
2006-05-01,76,3,0,0,0
2006-06-01,82,3,0,0,0
2006-07-01,82,3,0,0,0
2006-08-01,83,2,0,0,0
2006-09-01,84,2,0,0,0
2006-10-01,88,3,0,0,0
2006-11-01,81,2,0,0,0
2006-12-01,83,2,0,0,0
2007-01-01,82,3,0,0,0
2007-02-01,86,3,0,0,0
2007-03-01,84,2,0,0,0
2007-04-01,94,2,0,0,0
2007-05-01,81,3,0,0,0
2007-06-01,81,2,0,0,0
2007-07-01,81,2,0,0,0
2007-08-01,84,3,0,0,0
2007-09-01,85,2,0,0,0
2007-10-01,79,3,0,0,0
2007-11-01,78,3,0,0,0
2007-12-01,84,3,0,0,0
2008-01-01,85,3,0,0,0
2008-02-01,84,3,0,0,0
2008-03-01,97,3,0,0,0
2008-04-01,83,3,0,0,0
2008-05-01,76,2,0,0,0
2008-06-01,77,2,0,0,0
2008-07-01,77,2,0,0,0
2008-08-01,76,2,0,0,0
2008-09-01,79,2,0,0,0
2008-10-01,78,3,0,0,0
2008-11-01,80,3,0,0,0
2008-12-01,80,2,0,0,0
2009-01-01,78,3,0,0,0
2009-02-01,84,3,0,0,0
2009-03-01,83,3,0,0,0
2009-04-01,89,3,0,0,0
2009-05-01,74,3,0,0,0
2009-06-01,79,2,0,0,0
2009-07-01,74,2,0,0,0
2009-08-01,81,2,0,0,0
2009-09-01,77,3,0,0,0
2009-10-01,78,3,0,0,0
2009-11-01,74,3,0,0,0
2009-12-01,80,2,0,0,0
2010-01-01,79,3,0,0,0
2010-02-01,83,3,0,0,0
2010-03-01,80,3,0,0,0
2010-04-01,90,3,0,0,0
2010-05-01,76,3,0,0,0
2010-06-01,77,2,0,0,0
2010-07-01,71,3,0,0,0
2010-08-01,76,3,0,0,0
2010-09-01,77,3,0,0,0
2010-10-01,72,3,0,0,0
2010-11-01,70,3,0,0,0
2010-12-01,74,2,0,0,0
2011-01-01,85,3,0,0,0
2011-02-01,83,3,0,0,0
2011-03-01,86,3,0,0,0
2011-04-01,100,3,0,0,0
2011-05-01,86,3,0,0,0
2011-06-01,84,3,0,0,0
2011-07-01,83,3,0,0,0
2011-08-01,85,3,0,0,0
2011-09-01,83,3,0,0,0
2011-10-01,80,3,0,0,0
2011-11-01,77,3,0,0,0
2011-12-01,89,3,0,0,0
2012-01-01,85,3,0,0,0
2012-02-01,90,3,0,0,0
2012-03-01,81,3,0,0,0
2012-04-01,97,3,0,0,0
2012-05-01,90,3,0,0,0
2012-06-01,84,3,0,0,0
2012-07-01,82,3,0,0,0
2012-08-01,80,3,0,0,0
2012-09-01,79,3,0,0,0
2012-10-01,75,3,0,0,0
2012-11-01,76,3,0,0,0
2012-12-01,93,3,0,0,0
2013-01-01,77,4,0,0,0
2013-02-01,81,4,0,0,0
2013-03-01,91,4,0,0,0
2013-04-01,80,4,0,0,0
2013-05-01,74,3,0,0,0
2013-06-01,76,3,0,0,0
2013-07-01,74,4,0,0,0
2013-08-01,80,4,0,0,0
2013-09-01,80,4,0,0,0
2013-10-01,77,4,0,0,0
2013-11-01,75,4,1,0,0
2013-12-01,81,4,0,0,0
2014-01-01,78,4,1,0,0
2014-02-01,75,4,1,0,0
2014-03-01,87,4,1,0,0
2014-04-01,90,4,1,0,0
2014-05-01,74,4,1,0,0
2014-06-01,79,4,1,0,0
2014-07-01,72,4,1,0,0
2014-08-01,79,4,0,0,0
2014-09-01,77,4,1,0,0
2014-10-01,76,4,1,0,0
2014-11-01,76,4,1,0,0
2014-12-01,87,4,1,0,0
2015-01-01,85,5,1,0,0
2015-02-01,84,4,1,0,0
2015-03-01,84,5,1,0,0
2015-04-01,90,4,1,0,0
2015-05-01,77,4,1,0,0
2015-06-01,85,4,1,0,0
2015-07-01,77,4,1,0,0
2015-08-01,81,4,1,0,0
2015-09-01,75,4,1,0,0
2015-10-01,74,4,1,0,0
2015-11-01,71,4,1,0,0
2015-12-01,79,4,1,0,0
2016-01-01,76,5,1,0,0
2016-02-01,80,5,1,0,0
2016-03-01,90,5,1,0,0
2016-04-01,79,5,1,0,0
2016-05-01,79,4,1,0,0
2016-06-01,79,4,1,0,0
2016-07-01,78,4,1,0,0
2016-08-01,75,4,1,0,0
2016-09-01,78,4,1,0,0
2016-10-01,76,4,1,0,0
2016-11-01,73,5,1,0,0
2016-12-01,80,4,1,0,0
2017-01-01,79,5,1,0,0
2017-02-01,78,5,1,0,0
2017-03-01,79,5,1,0,0
2017-04-01,94,5,1,0,0
2017-05-01,75,5,1,0,0
2017-06-01,75,4,1,0,0
2017-07-01,77,5,1,0,0
2017-08-01,77,5,1,0,0
2017-09-01,75,5,1,0,0
2017-10-01,78,5,1,0,0
2017-11-01,82,5,1,0,0
2017-12-01,86,4,1,0,0
2018-01-01,75,5,1,0,1
2018-02-01,80,5,1,0,1
2018-03-01,84,5,1,0,1
2018-04-01,86,5,1,0,0
2018-05-01,69,5,1,0,0
2018-06-01,75,5,1,0,0
2018-07-01,81,5,1,0,1
2018-08-01,78,5,1,0,0
2018-09-01,77,5,1,0,0
2018-10-01,76,5,1,0,0
2018-11-01,72,5,1,0,0
2018-12-01,83,5,1,0,0
2019-01-01,75,5,1,0,1
2019-02-01,75,5,1,0,0
2019-03-01,84,5,1,0,0
2019-04-01,98,5,1,0,0
2019-05-01,74,5,1,0,0
2019-06-01,76,5,1,0,0
2019-07-01,73,5,1,0,1
2019-08-01,72,5,1,0,0
2019-09-01,76,5,1,0,0
2019-10-01,75,5,1,0,0
2019-11-01,70,5,1,0,0
2019-12-01,86,5,1,0,0
2020-01-01,74,5,1,0,0
2020-02-01,76,5,1,0,0
2020-03-01,83,5,1,0,0
2020-04-01,80,6,1,0,1
2020-05-01,65,5,1,0,1
2020-06-01,68,5,1,1,1
2020-07-01,61,5,1,1,1
2020-08-01,63,5,1,1,1
2020-09-01,59,5,1,1,1
2020-10-01,61,5,1,1,1
2020-11-01,57,4,1,1,1
2020-12-01,64,5,1,1,1
2021-01-01,61,5,1,1,1
2021-02-01,67,5,1,1,1
2021-03-01,63,4,1,1,1
2021-04-01,71,5,1,1,1
2021-05-01,64,5,1,1,1
2021-06-01,65,4,1,1,1
2021-07-01,64,4,1,1,1
2021-08-01,66,4,1,1,1
2021-09-01,65,5,1,1,0
2021-10-01,68,4,1,1,0
2021-11-01,63,4,1,1,0
2021-12-01,73,4,1,1,0
2022-01-01,71,5,1,1,1
2022-02-01,70,5,1,1,1
2022-03-01,80,5,1,1,0
2022-04-01,81,5,1,1,0
2022-05-01,76,4,1,1,0
2022-06-01,72,4,1,1,0
2022-07-01,73,4,1,1,0
2022-08-01,71,4,1,1,0
2022-09-01,65,5,1,1,0
2022-10-01,71,4,1,1,0
2022-11-01,65,4,1,1,0
2022-12-01,71,4,1,1,0
2023-01-01,72,5,1,1,0
