date,prayer,self help,therapy,coaching
2004-01-01,15,1,36,6
2004-02-01,15,1,37,5
2004-03-01,16,1,36,6
2004-04-01,16,1,38,5
2004-05-01,17,1,33,4
2004-06-01,13,1,32,4
2004-07-01,13,1,34,4
2004-08-01,12,1,35,5
2004-09-01,16,1,36,5
2004-10-01,19,1,36,5
2004-11-01,21,1,36,5
2004-12-01,18,1,34,5
2005-01-01,16,1,35,6
2005-02-01,16,1,36,5
2005-03-01,17,1,37,6
2005-04-01,18,1,40,5
2005-05-01,17,1,35,5
2005-06-01,14,1,34,4
2005-07-01,13,1,34,4
2005-08-01,14,1,32,5
2005-09-01,16,1,35,5
2005-10-01,18,1,36,5
2005-11-01,17,1,36,5
2005-12-01,15,1,30,4
2006-01-01,15,1,37,5
2006-02-01,16,1,36,5
2006-03-01,15,1,37,5
2006-04-01,16,1,35,5
2006-05-01,16,1,33,4
2006-06-01,13,1,32,4
2006-07-01,14,1,32,4
2006-08-01,14,1,33,5
2006-09-01,17,1,35,4
2006-10-01,16,1,36,4
2006-11-01,17,1,34,5
2006-12-01,15,1,29,4
2007-01-01,15,1,33,6
2007-02-01,15,1,34,4
2007-03-01,15,1,34,5
2007-04-01,16,1,33,4
2007-05-01,16,1,33,4
2007-06-01,14,1,31,3
2007-07-01,13,1,33,3
2007-08-01,14,1,31,4
2007-09-01,17,1,33,4
2007-10-01,16,1,36,5
2007-11-01,17,1,33,5
2007-12-01,15,1,28,5
2008-01-01,15,1,32,5
2008-02-01,16,1,33,4
2008-03-01,15,1,33,5
2008-04-01,17,1,35,5
2008-05-01,16,1,31,4
2008-06-01,13,1,31,3
2008-07-01,14,1,33,3
2008-08-01,14,1,30,4
2008-09-01,17,1,32,4
2008-10-01,16,1,35,4
2008-11-01,18,1,34,5
2008-12-01,15,1,30,5
2009-01-01,18,1,34,5
2009-02-01,16,1,35,4
2009-03-01,16,1,36,5
2009-04-01,17,1,36,4
2009-05-01,17,1,33,4
2009-06-01,14,1,34,4
2009-07-01,15,1,33,3
