geoName,astrology
Alabama,53
Alaska,75
Arizona,79
Arkansas,53
California,90
Colorado,84
Connecticut,73
Delaware,64
District of Columbia,78
Florida,70
Georgia,62
Hawaii,99
Idaho,59
Illinois,72
Indiana,56
Iowa,48
Kansas,60
Kentucky,55
Louisiana,55
Maine,79
Maryland,70
Massachusetts,74
Michigan,61
Minnesota,59
Mississippi,44
Missouri,61
Montana,79
Nebraska,47
Nevada,84
New Hampshire,67
New Jersey,76
New Mexico,94
New York,82
North Carolina,60
North Dakota,45
Ohio,59
Oklahoma,58
Oregon,92
Pennsylvania,66
Rhode Island,76
South Carolina,50
South Dakota,45
Tennessee,57
Texas,62
Utah,66
Vermont,100
Virginia,61
Washington,96
West Virginia,50
Wisconsin,54
Wyoming,81
