geoName,bible
Alabama,94
Alaska,56
Arizona,45
Arkansas,86
California,38
Colorado,42
Connecticut,29
Delaware,47
District of Columbia,36
Florida,54
Georgia,73
Hawaii,44
Idaho,49
Illinois,45
Indiana,62
Iowa,49
Kansas,57
Kentucky,71
Louisiana,71
Maine,30
Maryland,49
Massachusetts,25
Michigan,51
Minnesota,45
Mississippi,100
Missouri,60
Montana,51
Nebraska,49
Nevada,35
New Hampshire,27
New Jersey,32
New Mexico,50
New York,29
North Carolina,67
North Dakota,47
Ohio,46
Oklahoma,73
Oregon,40
Pennsylvania,42
Rhode Island,26
South Carolina,75
South Dakota,56
Tennessee,82
Texas,57
Utah,28
Vermont,24
Virginia,53
Washington,42
West Virginia,75
Wisconsin,37
Wyoming,51
