state,mental
Alabama,17.333333333333332
Alaska,15.266666666666666
Arizona,15.233333333333334
Arkansas,19.73333333333333
California,14.633333333333333
Colorado,15.533333333333331
Connecticut,14.233333333333334
Delaware,14.9
District of Columbia,13.333333333333334
Florida,15.200000000000001
Georgia,15.933333333333335
Hawaii,12.333333333333334
Idaho,15.166666666666666
Illinois,13.466666666666667
Indiana,16.9
Iowa,14.533333333333333
Kansas,15.799999999999999
Kentucky,17.25
Louisiana,19.53333333333333
Maine,16.9
Maryland,14.133333333333333
Massachusetts,14.233333333333334
Michigan,16.933333333333334
Minnesota,14.333333333333334
Mississippi,14.866666666666667
Missouri,17.166666666666668
Montana,16.833333333333332
Nebraska,12.966666666666667
Nevada,17.6
New Hampshire,15.700000000000001
New Jersey,13.566666666666668
New Mexico,16.7
New York,14.6
North Carolina,15.066666666666668
North Dakota,13.266666666666666
Ohio,17.46666666666667
Oklahoma,17.933333333333334
Oregon,18.0
Pennsylvania,15.45
Rhode Island,15.4
South Carolina,15.633333333333333
South Dakota,13.633333333333335
Tennessee,19.950000000000003
Texas,16.0
Utah,16.066666666666666
Vermont,15.700000000000001
Virginia,15.833333333333334
Washington,16.3
West Virginia,20.8
Wisconsin,16.0
Wyoming,14.799999999999999
