geoName,chakras
Alabama,52
Alaska,62
Arizona,92
Arkansas,57
California,81
Colorado,99
Connecticut,74
Delaware,62
District of Columbia,60
Florida,80
Georgia,74
Hawaii,75
Idaho,75
Illinois,66
Indiana,60
Iowa,61
Kansas,60
Kentucky,54
Louisiana,64
Maine,77
Maryland,73
Massachusetts,73
Michigan,67
Minnesota,58
Mississippi,53
Missouri,60
Montana,67
Nebraska,54
Nevada,89
New Hampshire,72
New Jersey,75
New Mexico,93
New York,71
North Carolina,80
North Dakota,52
Ohio,71
Oklahoma,56
Oregon,76
Pennsylvania,67
Rhode Island,69
South Carolina,63
South Dakota,53
Tennessee,61
Texas,60
Utah,100
Vermont,79
Virginia,62
Washington,68
West Virginia,47
Wisconsin,61
Wyoming,77
