geoName,church
Alabama,100
Alaska,44
Arizona,54
Arkansas,81
California,45
Colorado,58
Connecticut,48
Delaware,58
District of Columbia,79
Florida,57
Georgia,80
Hawaii,40
Idaho,61
Illinois,54
Indiana,72
Iowa,66
Kansas,69
Kentucky,77
Louisiana,77
Maine,44
Maryland,64
Massachusetts,42
Michigan,61
Minnesota,70
Mississippi,81
Missouri,66
Montana,52
Nebraska,72
Nevada,38
New Hampshire,42
New Jersey,46
New Mexico,54
New York,41
North Carolina,85
North Dakota,68
Ohio,61
Oklahoma,80
Oregon,46
Pennsylvania,60
Rhode Island,43
South Carolina,92
South Dakota,72
Tennessee,90
Texas,64
Utah,68
Vermont,47
Virginia,76
Washington,50
West Virginia,58
Wisconsin,59
Wyoming,55
