geoName,church service
Alabama,100
Alaska,41
Arizona,54
Arkansas,68
California,46
Colorado,53
Connecticut,37
Delaware,53
District of Columbia,63
Florida,65
Georgia,75
Hawaii,54
Idaho,46
Illinois,45
Indiana,67
Iowa,62
Kansas,65
Kentucky,75
Louisiana,70
Maine,37
Maryland,63
Massachusetts,37
Michigan,55
Minnesota,61
Mississippi,77
Missouri,57
Montana,53
Nebraska,55
Nevada,46
New Hampshire,38
New Jersey,35
New Mexico,48
New York,42
North Carolina,80
North Dakota,52
Ohio,54
Oklahoma,92
Oregon,40
Pennsylvania,55
Rhode Island,27
South Carolina,90
South Dakota,69
Tennessee,84
Texas,66
Utah,35
Vermont,35
Virginia,64
Washington,49
West Virginia,52
Wisconsin,54
Wyoming,74
