geoName,manifestation
Alabama,89
Alaska,60
Arizona,86
Arkansas,79
California,83
Colorado,73
Connecticut,85
Delaware,86
District of Columbia,54
Florida,94
Georgia,100
Hawaii,88
Idaho,67
Illinois,74
Indiana,73
Iowa,62
Kansas,71
Kentucky,72
Louisiana,90
Maine,65
Maryland,99
Massachusetts,79
Michigan,81
Minnesota,68
Mississippi,100
Missouri,71
Montana,59
Nebraska,65
Nevada,94
New Hampshire,65
New Jersey,88
New Mexico,87
New York,86
North Carolina,75
North Dakota,68
Ohio,80
Oklahoma,72
Oregon,63
Pennsylvania,80
Rhode Island,78
South Carolina,90
South Dakota,67
Tennessee,80
Texas,78
Utah,74
Vermont,67
Virginia,72
Washington,70
West Virginia,68
Wisconsin,68
Wyoming,93
