geoName,meditation
Alabama,40
Alaska,59
Arizona,69
Arkansas,43
California,77
Colorado,93
Connecticut,77
Delaware,66
District of Columbia,64
Florida,60
Georgia,50
Hawaii,72
Idaho,66
Illinois,55
Indiana,46
Iowa,53
Kansas,52
Kentucky,46
Louisiana,47
Maine,89
Maryland,66
Massachusetts,86
Michigan,56
Minnesota,62
Mississippi,36
Missouri,50
Montana,69
Nebraska,50
Nevada,62
New Hampshire,87
New Jersey,72
New Mexico,74
New York,75
North Carolina,53
North Dakota,40
Ohio,55
Oklahoma,40
Oregon,81
Pennsylvania,59
Rhode Island,77
South Carolina,44
South Dakota,45
Tennessee,45
Texas,46
Utah,73
Vermont,100
Virginia,53
Washington,69
West Virginia,37
Wisconsin,59
Wyoming,87
