geoName,mindfulness
Alabama,22
Alaska,36
Arizona,38
Arkansas,26
California,45
Colorado,52
Connecticut,56
Delaware,44
District of Columbia,42
Florida,35
Georgia,27
Hawaii,38
Idaho,37
Illinois,38
Indiana,30
Iowa,35
Kansas,48
Kentucky,31
Louisiana,26
Maine,57
Maryland,48
Massachusetts,64
Michigan,37
Minnesota,46
Mississippi,23
Missouri,35
Montana,42
Nebraska,32
Nevada,30
New Hampshire,58
New Jersey,43
New Mexico,44
New York,49
North Carolina,34
North Dakota,29
Ohio,36
Oklahoma,23
Oregon,51
Pennsylvania,46
Rhode Island,56
South Carolina,27
South Dakota,28
Tennessee,29
Texas,27
Utah,51
Vermont,89
Virginia,39
Washington,49
West Virginia,33
Wisconsin,51
Wyoming,100
