state,religiosity
Alabama,77
Alaska,45
Arizona,53
Arkansas,70
California,49
Colorado,47
Connecticut,43
Delaware,52
District of Columbia,53
Florida,54
Georgia,66
Hawaii,47
Idaho,51
Illinois,51
Indiana,54
Iowa,55
Kansas,55
Kentucky,63
Louisiana,71
Maine,34
Maryland,54
Massachusetts,33
Michigan,53
Minnesota,49
Mississippi,77
Missouri,60
Montana,48
Nebraska,54
Nevada,49
New Hampshire,33
New Jersey,55
New Mexico,57
New York,46
North Carolina,65
North Dakota,53
Ohio,58
Oklahoma,66
Oregon,48
Pennsylvania,53
Rhode Island,49
South Carolina,70
South Dakota,59
Tennessee,73
Texas,64
Utah,64
Vermont,34
Virginia,61
Washington,45
West Virginia,69
Wisconsin,45
Wyoming,54
