geoName,prayer
Alabama,66
Alaska,50
Arizona,49
Arkansas,59
California,51
Colorado,51
Connecticut,61
Delaware,70
District of Columbia,63
Florida,60
Georgia,68
Hawaii,61
Idaho,44
Illinois,64
Indiana,58
Iowa,52
Kansas,72
Kentucky,59
Louisiana,100
Maine,44
Maryland,78
Massachusetts,50
Michigan,69
Minnesota,70
Mississippi,77
Missouri,61
Montana,45
Nebraska,60
Nevada,51
New Hampshire,46
New Jersey,64
New Mexico,72
New York,55
North Carolina,60
North Dakota,62
Ohio,62
Oklahoma,59
Oregon,43
Pennsylvania,69
Rhode Island,54
South Carolina,64
South Dakota,58
Tennessee,61
Texas,68
Utah,42
Vermont,42
Virginia,63
Washington,47
West Virginia,57
Wisconsin,50
Wyoming,55
